Time,Analyse.Calculations.ElapsedTimeToCreateLayer,Analyse.Calculations.Heat.TotalCoolTime,Analyse.Calculations.Heat.TotalHeatTime,Analyse.Calculations.Melt[1].ContourLength,Analyse.Calculations.Melt[1].ContourTime,Analyse.Calculations.Melt[1].ScanlengthHistogram[0],Analyse.Calculations.Melt[1].ScanlengthHistogram[10],Analyse.Calculations.Melt[1].ScanlengthHistogram[11],Analyse.Calculations.Melt[1].ScanlengthHistogram[12],Analyse.Calculations.Melt[1].ScanlengthHistogram[13],Analyse.Calculations.Melt[1].ScanlengthHistogram[14],Analyse.Calculations.Melt[1].ScanlengthHistogram[15],Analyse.Calculations.Melt[1].ScanlengthHistogram[16],Analyse.Calculations.Melt[1].ScanlengthHistogram[1],Analyse.Calculations.Melt[1].ScanlengthHistogram[2],Analyse.Calculations.Melt[1].ScanlengthHistogram[3],Analyse.Calculations.Melt[1].ScanlengthHistogram[4],Analyse.Calculations.Melt[1].ScanlengthHistogram[5],Analyse.Calculations.Melt[1].ScanlengthHistogram[6],Analyse.Calculations.Melt[1].ScanlengthHistogram[7],Analyse.Calculations.Melt[1].ScanlengthHistogram[8],Analyse.Calculations.Melt[1].ScanlengthHistogram[9],Analyse.Calculations.Melt[1].SquareBeginSpeed,Analyse.Calculations.Melt[1].SquaresTime,Analyse.Calculations.Preheating[0].ApproximatedTotalPreheatTime,Analyse.Calculations.Preheating[0].Preheat1Area,Analyse.Calculations.Preheating[0].Preheat1Time,Analyse.Calculations.Preheating[0].Preheat2Area,Analyse.Calculations.Preheating[0].Preheat2Time,Analyse.Calculations.Preheating[0].Preheat3Area,Analyse.Calculations.Wafer[2].WaferTime,Builds.State.CurrentBuild.CurrentHeight,Number pores,ratio surface STL / POR,hist_diameter_1pix,hist_diameter_2pix,hist_diameter_3pix,hist_diameter_4pix,hist_diameter_5pix,hist_diameter_6pix,hist_diameter_7pix,hist_diameter_8pix,hist_diameter_9pix,hist_diameter_10pix,hist_diameter_11pix,hist_diameter_12pix,hist_diameter_13pix,hist_diameter_14pix
1.47E+12,0.9500013,0,0,7057.403,9.021255,62,37,298,3,0,0,0,0,47,46,57,88,125,200,89,40,38,45473.68,20.91594,20.03437,43249.3,13.51534,38324.46,6.320878,4924.832,3.887155,1.05,159,0.00022409,20,4,0,1,1,0,0,0,0,0,0,0,0,0
1.47E+12,0.9500013,0,0,7087.288,9.059375,78,35,314,0,0,0,0,0,57,56,161,112,89,120,97,61,36,45473.68,22.26328,20.03917,43210.21,13.50323,38374.23,6.329079,4835.984,3.727875,1.05,159,0.00022409,20,4,0,1,1,0,0,0,0,0,0,0,0,0
1.47E+12,0.9500013,0,0,7087.288,9.059375,78,35,314,0,0,0,0,0,57,56,161,112,89,120,97,61,36,45473.68,22.26328,20.03917,43210.21,13.50323,38374.23,6.329079,4835.984,3.727875,1.1,143,0.000275097,39,9,2,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9500013,0,0,7112.105,9.091043,7,540,3,0,0,0,0,0,10,35,19,121,48,123,48,20,0,45473.68,19.02451,20.03396,43249.3,13.51534,38340.82,6.323576,4908.48,3.626905,1.1,143,0.000275097,39,9,2,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9500013,0,0,7112.105,9.091043,7,540,3,0,0,0,0,0,10,35,19,121,48,123,48,20,0,45473.68,19.02451,20.03396,43249.3,13.51534,38340.82,6.323576,4908.48,3.626905,1.15,97,0.000181707,12,4,4,2,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.8400011,0,0,7134.859,9.12008,15,529,1,0,0,0,0,0,14,12,13,112,50,135,52,48,9,45473.68,19.32829,20.03544,43210.21,13.50323,38384.2,6.330721,4826.02,3.611696,1.15,97,0.000181707,12,4,4,2,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.8400011,0,0,7134.859,9.12008,15,529,1,0,0,0,0,0,14,12,13,112,50,135,52,48,9,45473.68,19.32829,20.03544,43210.21,13.50323,38384.2,6.330721,4826.02,3.611696,1.2,111,0.000151829,13,3,0,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,1.090001,0,0,7164.748,9.158629,53,38,300,1,0,0,0,0,37,155,52,51,92,218,128,40,37,45473.68,22.04335,20.04084,43249.3,13.51534,38352.74,6.325542,4896.555,3.553722,1.2,111,0.000151829,13,3,0,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,1.090001,0,0,7164.748,9.158629,53,38,300,1,0,0,0,0,37,155,52,51,92,218,128,40,37,45473.68,22.04335,20.04084,43249.3,13.51534,38352.74,6.325542,4896.555,3.553722,1.25,161,0.000398205,37,17,7,2,0,3,0,0,0,0,0,0,0,0
1.47E+12,0.9800014,0,0,7190.721,9.191982,86,34,315,0,0,0,0,0,107,77,39,38,80,185,121,94,36,45473.68,22.20599,20.04284,43210.21,13.50323,38395.96,6.332661,4814.25,3.494268,1.25,161,0.000398205,37,17,7,2,0,3,0,0,0,0,0,0,0,0
